case,run_id,turn,character,depth,reference_mean_depth,reference_std_depth,z_score
case1,run_20260115_190152,1,poirot,7.2,3.62060101010101,1.3428538016074505,2.665516518339006
case1,run_20260115_190152,1,holmes,7.0,4.551333333333333,1.8421691320590274,1.3292301038231737
case1,run_20260115_190152,2,poirot,7.8,3.62060101010101,1.3428538016074505,3.1123261407132183
case1,run_20260115_190152,2,holmes,5.875,4.551333333333333,1.8421691320590274,0.7185369918706539
case1,run_20260115_190152,2,marple,7.833333333333333,3.848859640359641,1.2201469950054273,3.2655685825427687
case1,run_20260115_190152,3,holmes,6.666666666666667,4.551333333333333,1.8421691320590274,1.148283996577983
case1,run_20260115_190152,3,marple,7.0,3.848859640359641,1.2201469950054273,2.5825907636860936
case1,run_20260115_190152,3,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case1,run_20260115_190152,4,marple,7.857142857142857,3.848859640359641,1.2201469950054273,3.2850822345101025
case1,run_20260115_190152,4,poirot,6.888888888888889,3.62060101010101,1.3428538016074505,2.4338374548857113
case1,run_20260115_190152,4,holmes,7.125,4.551333333333333,1.8421691320590274,1.3970848940401204
case1,run_20260115_190417,1,holmes,7.444444444444445,4.551333333333333,1.8421691320590274,1.5704915801500954
case1,run_20260115_190417,1,poirot,5.666666666666667,3.62060101010101,1.3428538016074505,1.523669705604909
case1,run_20260115_190417,1,marple,6.333333333333333,3.848859640359641,1.2201469950054273,2.0362085086007533
case1,run_20260115_190417,2,marple,7.166666666666667,3.848859640359641,1.2201469950054273,2.7191863274574293
case1,run_20260115_190417,2,holmes,5.8,4.551333333333333,1.8421691320590274,0.6778241177404858
case1,run_20260115_190417,2,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case1,run_20260115_190417,3,marple,5.833333333333333,3.848859640359641,1.2201469950054273,1.6264218172867484
case1,run_20260115_190417,3,poirot,6.714285714285714,3.62060101010101,1.3428538016074505,2.303813490702739
case1,run_20260115_190417,3,holmes,6.142857142857143,4.551333333333333,1.8421691320590274,0.8639401137641113
case1,run_20260115_190417,4,marple,7.285714285714286,3.848859640359641,1.2201469950054273,2.8167545872940964
case1,run_20260115_190417,4,poirot,6.818181818181818,3.62060101010101,1.3428538016074505,2.3811831222826894
case1,run_20260115_190417,4,holmes,6.571428571428571,4.551333333333333,1.8421691320590274,1.0965851087936422
case1,run_20260115_190417,5,marple,7.6,3.848859640359641,1.2201469950054273,3.0743347932628997
case1,run_20260115_190417,5,poirot,6.454545454545454,3.62060101010101,1.3428538016074505,2.110389411752864
case1,run_20260115_190417,5,holmes,7.111111111111111,4.551333333333333,1.8421691320590274,1.389545472904904
case1,run_20260115_190417,6,holmes,6.333333333333333,4.551333333333333,1.8421691320590274,0.9673378893327915
case1,run_20260115_190417,6,poirot,7.090909090909091,3.62060101010101,1.3428538016074505,2.5842784051800587
case1,run_20260115_190417,6,marple,6.7,3.848859640359641,1.2201469950054273,2.336718748897691
case1,run_20260115_190417,7,marple,6.0,3.848859640359641,1.2201469950054273,1.7630173810580836
case1,run_20260115_190417,7,poirot,7.636363636363637,3.62060101010101,1.3428538016074505,2.9904689709747965
case1,run_20260115_190417,7,holmes,7.333333333333333,4.551333333333333,1.8421691320590274,1.5101762110683647
case1,run_20260115_190417,8,holmes,7.0,4.551333333333333,1.8421691320590274,1.3292301038231737
case1,run_20260115_190417,8,poirot,6.769230769230769,3.62060101010101,1.3428538016074505,2.34473012278829
case1,run_20260115_190417,8,marple,6.933333333333334,3.848859640359641,1.2201469950054273,2.52795253817756
case1,run_20260115_184824,1,poirot,6.428571428571429,3.62060101010101,1.3428538016074505,2.091047003857877
case1,run_20260115_184824,1,holmes,7.166666666666667,4.551333333333333,1.8421691320590274,1.4197031574457695
case1,run_20260115_184824,1,marple,7.2,3.848859640359641,1.2201469950054273,2.746505440211696
case1,run_20260115_184824,2,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case1,run_20260115_184824,2,holmes,7.428571428571429,4.551333333333333,1.8421691320590274,1.5618750988527053
case1,run_20260115_184824,2,marple,6.6,3.848859640359641,1.2201469950054273,2.2547614106348894
case1,run_20260115_184824,3,holmes,7.2,4.551333333333333,1.8421691320590274,1.4377977681702885
case1,run_20260115_184824,3,marple,8.0,3.848859640359641,1.2201469950054273,3.402164146314104
case1,run_20260115_184824,3,poirot,6.4,3.62060101010101,1.3428538016074505,2.0697703551733904
case1,run_20260115_184824,4,marple,7.428571428571429,3.848859640359641,1.2201469950054273,2.9338364990980983
case1,run_20260115_184824,4,poirot,8.166666666666666,3.62060101010101,1.3428538016074505,3.3853764654974583
case1,run_20260115_184824,4,holmes,6.857142857142857,4.551333333333333,1.8421691320590274,1.251681772146663
case1,run_20260115_184824,5,holmes,7.555555555555555,4.551333333333333,1.8421691320590274,1.6308069492318256
case1,run_20260115_184824,5,poirot,6.333333333333333,3.62060101010101,1.3428538016074505,2.0201248415762554
case1,run_20260115_184824,5,marple,7.375,3.848859640359641,1.2201469950054273,2.889930782171598
case1,run_20260115_184824,6,poirot,7.2,3.62060101010101,1.3428538016074505,2.665516518339006
case1,run_20260115_184824,6,marple,8.1,3.848859640359641,1.2201469950054273,3.484121484576905
case1,run_20260115_184824,6,holmes,7.5,4.551333333333333,1.8421691320590274,1.6006492646909605
case1,run_20260122_141750,1,holmes,6.875,4.551333333333333,1.8421691320590274,1.2613753136062271
case1,run_20260122_141750,1,marple,5.5,3.848859640359641,1.2201469950054273,1.3532306897440785
case1,run_20260122_141750,1,poirot,5.75,3.62060101010101,1.3428538016074505,1.585726597601327
case1,run_20260122_141750,2,marple,6.142857142857143,3.848859640359641,1.2201469950054273,1.8800992928620854
case1,run_20260122_141750,2,holmes,6.555555555555555,4.551333333333333,1.8421691320590274,1.0879686274962523
case1,run_20260122_141750,2,poirot,7.0,3.62060101010101,1.3428538016074505,2.516579977547602
case1,run_20260122_141750,3,poirot,6.777777777777778,3.62060101010101,1.3428538016074505,2.3510949322238197
case1,run_20260122_141750,3,holmes,6.75,4.551333333333333,1.8421691320590274,1.1935205233892805
case1,run_20260122_141750,3,marple,6.666666666666667,3.848859640359641,1.2201469950054273,2.309399636143424
case1,run_20260122_141750,4,poirot,6.285714285714286,3.62060101010101,1.3428538016074505,1.984663760435445
case1,run_20260122_141750,4,marple,7.285714285714286,3.848859640359641,1.2201469950054273,2.8167545872940964
case1,run_20260122_141750,4,holmes,7.75,4.551333333333333,1.8421691320590274,1.7363588451248537
case1,run_20260122_141750,5,holmes,7.454545454545454,4.551333333333333,1.8421691320590274,1.5759747955211614
case1,run_20260122_141750,5,marple,7.375,3.848859640359641,1.2201469950054273,2.889930782171598
case1,run_20260122_141750,5,poirot,8.0,3.62060101010101,1.3428538016074505,3.261262681504622
case1,run_20260122_141750,6,poirot,6.909090909090909,3.62060101010101,1.3428538016074505,2.448881549915146
case1,run_20260122_141750,6,holmes,6.75,4.551333333333333,1.8421691320590274,1.1935205233892805
case1,run_20260122_141750,6,marple,8.142857142857142,3.848859640359641,1.2201469950054273,3.5192460581181053
case1,run_20260115_184344,1,holmes,6.0,4.551333333333333,1.8421691320590274,0.7863917820876005
case1,run_20260115_184344,1,marple,6.833333333333333,3.848859640359641,1.2201469950054273,2.4459951999147584
case1,run_20260115_184344,1,poirot,6.666666666666667,3.62060101010101,1.3428538016074505,2.268352409561929
case1,run_20260115_184344,2,poirot,6.375,3.62060101010101,1.3428538016074505,2.0511532875744645
case1,run_20260115_184344,2,holmes,6.8,4.551333333333333,1.8421691320590274,1.220662439476059
case1,run_20260115_184344,2,marple,6.285714285714286,3.848859640359641,1.2201469950054273,1.9971812046660864
case1,run_20260115_184344,3,poirot,5.625,3.62060101010101,1.3428538016074505,1.4926412596066996
case1,run_20260115_184344,3,marple,6.833333333333333,3.848859640359641,1.2201469950054273,2.4459951999147584
case1,run_20260115_184344,3,holmes,6.5,4.551333333333333,1.8421691320590274,1.0578109429553872
case1,run_20260115_184344,4,holmes,8.0,4.551333333333333,1.8421691320590274,1.872068425558747
case1,run_20260115_184344,4,marple,7.4,3.848859640359641,1.2201469950054273,2.9104201167372983
case1,run_20260115_184344,4,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case1,run_20260115_184344,5,holmes,7.333333333333333,4.551333333333333,1.8421691320590274,1.5101762110683647
case1,run_20260115_184344,5,marple,7.666666666666667,3.848859640359641,1.2201469950054273,3.1289730187714344
case1,run_20260115_184344,5,poirot,6.75,3.62060101010101,1.3428538016074505,2.330409301558347
case1,run_20260115_184344,6,holmes,6.857142857142857,4.551333333333333,1.8421691320590274,1.251681772146663
case1,run_20260115_184344,6,poirot,6.909090909090909,3.62060101010101,1.3428538016074505,2.448881549915146
case1,run_20260115_184344,6,marple,7.0,3.848859640359641,1.2201469950054273,2.5825907636860936
case1,run_20260115_184344,7,holmes,7.444444444444445,4.551333333333333,1.8421691320590274,1.5704915801500954
case1,run_20260115_184344,7,poirot,7.181818181818182,3.62060101010101,1.3428538016074505,2.651976832812515
case1,run_20260115_184344,7,marple,6.222222222222222,3.848859640359641,1.2201469950054273,1.9451447994198636
case2,run_20260115_191025,1,marple,5.857142857142857,3.848859640359641,1.2201469950054273,1.6459354692540817
case2,run_20260115_191025,1,holmes,6.0,4.551333333333333,1.8421691320590274,0.7863917820876005
case2,run_20260115_191025,1,poirot,7.375,3.62060101010101,1.3428538016074505,2.7958359915314848
case2,run_20260115_191025,2,poirot,7.428571428571429,3.62060101010101,1.3428538016074505,2.8357297078148966
case2,run_20260115_191025,2,marple,8.4,3.848859640359641,1.2201469950054273,3.7299934993653086
case2,run_20260115_191025,2,holmes,7.25,4.551333333333333,1.8421691320590274,1.464939684257067
case2,run_20260115_191025,3,marple,6.857142857142857,3.848859640359641,1.2201469950054273,2.4655088518820922
case2,run_20260115_191025,3,holmes,8.333333333333334,4.551333333333333,1.8421691320590274,2.0530145328039384
case2,run_20260115_191025,3,poirot,6.888888888888889,3.62060101010101,1.3428538016074505,2.4338374548857113
case2,run_20260115_191025,4,holmes,7.625,4.551333333333333,1.8421691320590274,1.668504054907907
case2,run_20260115_191025,4,poirot,8.0,3.62060101010101,1.3428538016074505,3.261262681504622
case2,run_20260115_191025,4,marple,7.625,3.848859640359641,1.2201469950054273,3.0948241278286
case2,run_20260115_191449,1,holmes,5.666666666666667,4.551333333333333,1.8421691320590274,0.6054456748424096
case2,run_20260115_191449,1,marple,5.666666666666667,3.848859640359641,1.2201469950054273,1.4898262535154136
case2,run_20260115_191449,1,poirot,5.888888888888889,3.62060101010101,1.3428538016074505,1.6891547509286913
case2,run_20260115_191348,1,holmes,5.444444444444445,4.551333333333333,1.8421691320590274,0.48481493667894887
case2,run_20260115_191348,1,poirot,6.875,3.62060101010101,1.3428538016074505,2.423494639552975
case2,run_20260115_191348,1,marple,6.428571428571429,3.848859640359641,1.2201469950054273,2.114263116470088
case2,run_20260115_191348,2,poirot,7.571428571428571,3.62060101010101,1.3428538016074505,2.942112951237328
case2,run_20260115_191348,2,marple,7.0,3.848859640359641,1.2201469950054273,2.5825907636860936
case2,run_20260115_191348,2,holmes,6.888888888888889,4.551333333333333,1.8421691320590274,1.2689147347414436
case2,run_20260115_191348,3,poirot,7.384615384615385,3.62060101010101,1.3428538016074505,2.8029964021464564
case2,run_20260115_191348,3,marple,7.0,3.848859640359641,1.2201469950054273,2.5825907636860936
case2,run_20260115_191348,3,holmes,7.875,4.551333333333333,1.8421691320590274,1.8042136353418003
case2,run_20260115_191348,4,poirot,6.818181818181818,3.62060101010101,1.3428538016074505,2.3811831222826894
case2,run_20260115_191348,4,holmes,7.0,4.551333333333333,1.8421691320590274,1.3292301038231737
case2,run_20260115_191348,4,marple,7.2,3.848859640359641,1.2201469950054273,2.746505440211696
case2,run_20260115_191251,1,poirot,6.777777777777778,3.62060101010101,1.3428538016074505,2.3510949322238197
case2,run_20260115_191251,1,holmes,5.166666666666667,4.551333333333333,1.8421691320590274,0.3340265139746231
case2,run_20260115_191251,1,marple,6.333333333333333,3.848859640359641,1.2201469950054273,2.0362085086007533
case2,run_20260115_191251,2,poirot,6.111111111111111,3.62060101010101,1.3428538016074505,1.854639796252473
case2,run_20260115_191251,2,holmes,6.25,4.551333333333333,1.8421691320590274,0.9221013625214939
case2,run_20260115_191251,2,marple,6.285714285714286,3.848859640359641,1.2201469950054273,1.9971812046660864
case2,run_20260115_191251,3,holmes,7.125,4.551333333333333,1.8421691320590274,1.3970848940401204
case2,run_20260115_191251,3,poirot,6.4,3.62060101010101,1.3428538016074505,2.0697703551733904
case2,run_20260115_191251,3,marple,6.125,3.848859640359641,1.2201469950054273,1.8654640538865848
case2,run_20260115_191251,4,holmes,6.333333333333333,4.551333333333333,1.8421691320590274,0.9673378893327915
case2,run_20260115_191251,4,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case2,run_20260115_191251,4,marple,6.888888888888889,3.848859640359641,1.2201469950054273,2.491527054505204
case2,run_20260115_190940,1,marple,6.866666666666666,3.848859640359641,1.2201469950054273,2.4733143126690256
case2,run_20260115_190940,1,poirot,6.888888888888889,3.62060101010101,1.3428538016074505,2.4338374548857113
case2,run_20260115_190940,1,holmes,6.142857142857143,4.551333333333333,1.8421691320590274,0.8639401137641113
case2,run_20260115_190940,2,marple,7.5,3.848859640359641,1.2201469950054273,2.9923774550000988
case2,run_20260115_190940,2,holmes,6.375,4.551333333333333,1.8421691320590274,0.9899561527384405
case2,run_20260115_190940,2,poirot,6.428571428571429,3.62060101010101,1.3428538016074505,2.091047003857877
case2,run_20260115_190940,3,poirot,6.583333333333333,3.62060101010101,1.3428538016074505,2.2062955175655103
case2,run_20260115_190940,3,holmes,7.857142857142857,4.551333333333333,1.8421691320590274,1.7945200938822363
case2,run_20260115_190940,3,marple,6.5,3.848859640359641,1.2201469950054273,2.1728040723720885
case2,run_20260115_190823,1,holmes,5.125,4.551333333333333,1.8421691320590274,0.31140825056897403
case2,run_20260115_190823,1,marple,7.8,3.848859640359641,1.2201469950054273,3.238249469788502
