case,run_id,turn,character,intra_similarity,cross_similarity,character_distance
case1,run_20260115_190152,3,poirot,0.14852281934326794,0.15921138837640014,-0.0106885690331322
case1,run_20260115_190152,4,holmes,0.2855430146008625,0.5893917773435413,-0.3038487627426788
case1,run_20260115_190152,4,marple,0.36443027555276797,0.5854902783723127,-0.22106000281954474
case1,run_20260115_190152,4,poirot,0.36566695943111194,0.5432561730191839,-0.177589213588072
case1,run_20260115_190417,2,holmes,0.2758080122891098,0.1346016057547258,0.141206406534384
case1,run_20260115_190417,2,marple,0.18009525864737302,0.10055616757768587,0.07953909106968715
case1,run_20260115_190417,2,poirot,0.21087156863499357,0.09062242039053192,0.12024914824446165
case1,run_20260115_190417,3,holmes,0.3637728812651845,0.14048836624586075,0.22328451501932373
case1,run_20260115_190417,3,marple,0.11414350093886397,0.19775122605662016,-0.08360772511775619
case1,run_20260115_190417,3,poirot,0.09634310091321283,0.20487036374601708,-0.10852726283280426
case1,run_20260115_190417,4,holmes,0.5118200020055341,0.17491533108482174,0.3369046709207124
case1,run_20260115_190417,4,marple,0.1117414331919655,0.18557705823011095,-0.07383562503814545
case1,run_20260115_190417,4,poirot,0.280202248664954,0.16088512324220286,0.11931712542275116
case1,run_20260115_190417,5,holmes,0.6224112656487145,0.42447001106818205,0.19794125458053247
case1,run_20260115_190417,5,marple,0.13389866849883028,0.4486943044163356,-0.31479563591750537
case1,run_20260115_190417,5,poirot,0.47772069861580935,0.5363570093344722,-0.05863631071866282
case1,run_20260115_190417,6,holmes,0.48259767683015153,0.49895397104501854,-0.016356294214867007
case1,run_20260115_190417,6,marple,0.43126289849704136,0.5889869484337817,-0.15772404993674038
case1,run_20260115_190417,6,poirot,0.7321952911036498,0.5657346585013314,0.16646063260231836
case1,run_20260115_190417,7,holmes,0.486780404552093,0.488416824334114,-0.0016364197820210036
case1,run_20260115_190417,7,marple,0.3291285184316234,0.3046379095730094,0.024490608858613983
case1,run_20260115_190417,7,poirot,0.7638129200582203,0.4850440187162413,0.278768901341979
case1,run_20260115_190417,8,holmes,0.4090481942752858,0.3798346438473863,0.029213550427899526
case1,run_20260115_190417,8,marple,0.33802395571270094,0.539151851083826,-0.20112789537112508
case1,run_20260115_190417,8,poirot,0.7307911135388734,0.46618971864695863,0.26460139489191475
case1,run_20260122_141750,2,holmes,0.06837000515850677,0.24056962762482959,-0.1721996224663228
case1,run_20260122_141750,2,marple,0.07376450838434859,0.24980408146414834,-0.17603957307979975
case1,run_20260122_141750,2,poirot,0.10465806499350241,0.1789668669220621,-0.07430880192855968
case1,run_20260122_141750,3,holmes,0.28943659218328555,0.1567199032441698,0.13271668893911576
case1,run_20260122_141750,3,marple,0.299217513006108,0.31472992326759514,-0.015512410261487142
case1,run_20260122_141750,3,poirot,0.39157388427398415,0.3672141453958999,0.024359738878084236
case1,run_20260122_141750,4,holmes,0.464665453145219,0.28915576328893156,0.17550968985628745
case1,run_20260122_141750,4,marple,0.09677931607948595,0.33172184763286783,-0.23494253155338188
case1,run_20260122_141750,4,poirot,0.20419688308931566,0.23486050917013312,-0.030663626080817463
case1,run_20260122_141750,5,holmes,0.6774430984471017,0.3982895917190113,0.2791535067280904
case1,run_20260122_141750,5,marple,0.2441594514360077,0.2374837960503977,0.006675655385609991
case1,run_20260122_141750,5,poirot,0.3371602398683651,0.4059202756310027,-0.06876003576263762
case1,run_20260122_141750,6,holmes,0.6731289676952726,0.37883228138981784,0.2942966863054548
case1,run_20260122_141750,6,marple,0.31876886858566533,0.38047468705746423,-0.0617058184717989
case1,run_20260122_141750,6,poirot,0.535921222111061,0.379146483788464,0.15677473832259697
case2,run_20260115_190823,2,holmes,0.13379213159368086,0.18302470303086676,-0.0492325714371859
case2,run_20260115_190823,2,marple,0.2884533695112672,0.13026660561617207,0.15818676389509514
case2,run_20260115_190823,2,poirot,0.17101415844173695,0.16556258331288284,0.005451575128854108
case2,run_20260115_190823,3,holmes,0.5353362388340266,0.1091529951718217,0.4261832436622049
case2,run_20260115_190823,3,marple,0.4216657337049461,0.113746162983116,0.30791957072183007
case2,run_20260115_190823,3,poirot,0.3487588058147556,0.19403008369954,0.1547287221152156
case2,run_20260115_190823,4,holmes,0.5254390471148584,0.2817808107761225,0.24365823633873596
case2,run_20260115_190823,4,marple,0.6336406595315447,0.2156251924112547,0.41801546712029003
case2,run_20260115_190823,4,poirot,0.6041923316458703,0.1538595423756309,0.45033278927023934
case2,run_20260115_190823,5,holmes,0.36444648942870034,0.45550933777287533,-0.091062848344175
case2,run_20260115_190823,5,marple,0.8473714430343209,0.39302869571055493,0.45434274732376595
case2,run_20260115_190823,5,poirot,0.21338592740752582,0.3518188482807343,-0.13843292087320846
case2,run_20260115_190940,2,holmes,0.049135615671611704,0.04259338773363111,0.006542227937980594
case2,run_20260115_190940,2,marple,0.1664276539560642,0.047171477745489784,0.11925617621057442
case2,run_20260115_190940,2,poirot,0.0670732033753515,0.03960975486810592,0.02746344850724558
case2,run_20260115_190940,3,holmes,0.03227201620876287,0.3244722644040968,-0.29220024819533397
case2,run_20260115_190940,3,marple,0.13551096673896626,0.38440115325704505,-0.2488901865180788
case2,run_20260115_190940,3,poirot,0.6168253665088231,0.3265403536079542,0.29028501290086894
case2,run_20260115_191025,2,holmes,0.2210654569974025,0.11252768240092904,0.10853777459647344
case2,run_20260115_191025,2,marple,0.007803822029382984,0.14768559428693862,-0.13988177225755563
case2,run_20260115_191025,2,poirot,0.15973360931819397,0.18550281728092893,-0.025769207962734964
case2,run_20260115_191025,3,holmes,0.648413069348123,0.11486112757538579,0.5335519417727372
case2,run_20260115_191025,3,marple,0.5445716206367004,0.2672009115900695,0.2773707090466309
case2,run_20260115_191025,3,poirot,0.5323862795431131,0.24785846660158917,0.28452781294152396
case2,run_20260115_191025,4,holmes,0.4302606077812764,0.22920214151491408,0.2010584662663623
case2,run_20260115_191025,4,marple,0.31710447863000424,0.47116826004195056,-0.15406378141194632
case2,run_20260115_191025,4,poirot,0.4244817417205837,0.44986408590623156,-0.02538234418564783
case2,run_20260115_191122,2,holmes,0.16771184815803997,0.27790078448843525,-0.11018893633039528
case2,run_20260115_191122,2,marple,0.06755704498311704,0.20059921270315034,-0.1330421677200333
case2,run_20260115_191122,2,poirot,0.4713668953117176,0.264215264795966,0.20715163051575158
case2,run_20260115_191251,2,holmes,0.05806125497566145,0.32415424429715184,-0.2660929893214904
case2,run_20260115_191251,2,marple,0.31543935125191913,0.2942997312739516,0.02113961997796754
case2,run_20260115_191251,2,poirot,0.09343541931111926,0.29653312556843126,-0.203097706257312
