case,run_id,turn,character,prob_correct,brier
case2,run_20260115_192338,5,holmes,0.769514262676239,0.05312367528676987
case2,run_20260115_192338,6,holmes,0.0046844384633004665,0.9906530380249023
case2,run_20260115_192338,7,holmes,0.004684437531977892,0.9906530380249023
case2,run_20260115_192338,8,holmes,0.08465047180652618,0.8378647565841675
case2,run_20260115_192338,9,holmes,0.3218362033367157,0.45990610122680664
case2,run_20260115_192338,1,marple,0.0014186945045366883,0.9971646070480347
case2,run_20260115_192338,2,marple,0.0028345086611807346,0.9943390488624573
case2,run_20260115_192338,3,marple,0.0028369035571813583,0.9943342804908752
case2,run_20260115_192338,4,marple,0.00144749297760427,0.9971070885658264
case2,run_20260115_192338,5,marple,0.03831193223595619,0.9248439073562622
case2,run_20260115_192338,6,marple,0.05102061107754707,0.9005618691444397
case2,run_20260115_192338,7,marple,0.0012852041982114315,0.9974312782287598
case2,run_20260115_192338,8,marple,0.0015920287696644664,0.996818482875824
case2,run_20260115_192338,9,marple,0.3982481360435486,0.3621053099632263
case2,run_20260115_192338,1,poirot,0.996319055557251,1.35493519337615e-05
case2,run_20260115_192338,2,poirot,0.010024717077612877,0.9800510406494141
case2,run_20260115_192338,3,poirot,0.011718891561031342,0.9766995906829834
case2,run_20260115_192338,4,poirot,0.01434343308210373,0.971518874168396
case2,run_20260115_192338,5,poirot,0.014517434872686863,0.9711759090423584
case2,run_20260115_192338,6,poirot,0.01434343308210373,0.971518874168396
case2,run_20260115_192338,7,poirot,0.01434343308210373,0.971518874168396
case2,run_20260115_192338,8,poirot,0.014343439601361752,0.971518874168396
case2,run_20260115_192338,9,poirot,0.1316363364458084,0.7540555000305176
case3,run_20260115_192935,1,holmes,0.9856157302856445,0.00020690722158178687
case3,run_20260115_192935,2,holmes,0.002680746139958501,0.9946457743644714
case3,run_20260115_192935,3,holmes,0.6023276448249817,0.1581432968378067
case3,run_20260115_192935,4,holmes,0.65328449010849,0.1202116459608078
case3,run_20260115_192935,1,marple,0.7933806777000427,0.04269154369831085
case3,run_20260115_192935,2,marple,0.995097815990448,2.403140751994215e-05
case3,run_20260115_192935,3,marple,0.0015267124399542809,0.9969488978385925
case3,run_20260115_192935,4,marple,0.0015422235010191798,0.9969179630279541
case3,run_20260115_192935,1,poirot,0.19683469831943512,0.6450745463371277
case3,run_20260115_192935,2,poirot,0.006883125752210617,0.9862810969352722
case3,run_20260115_192935,3,poirot,0.025810614228248596,0.9490450024604797
case3,run_20260115_192935,4,poirot,0.003445776179432869,0.9931202530860901
case3,run_20260115_193042,1,holmes,0.0014070530887693167,0.9971879124641418
