case,run_id,turn,character,pos,neg,neu,compound
case1,run_20260115_184344,3,poirot,0.0,0.103,0.897,-0.925
case1,run_20260115_184344,4,holmes,0.052,0.115,0.833,-0.922
case1,run_20260115_184344,4,marple,0.121,0.183,0.695,-0.839
case1,run_20260115_184344,4,poirot,0.054,0.144,0.802,-0.952
case1,run_20260115_184344,5,holmes,0.029,0.117,0.854,-0.962
case1,run_20260115_184344,5,marple,0.098,0.071,0.831,0.285
case1,run_20260115_184344,5,poirot,0.021,0.135,0.844,-0.986
case1,run_20260115_184344,6,holmes,0.052,0.113,0.835,-0.917
case1,run_20260115_184344,6,marple,0.049,0.128,0.823,-0.976
case1,run_20260115_184344,6,poirot,0.029,0.078,0.893,-0.926
case1,run_20260115_184344,7,holmes,0.04,0.095,0.865,-0.91
case1,run_20260115_184344,7,marple,0.022,0.08,0.898,-0.859
case1,run_20260115_184344,7,poirot,0.043,0.087,0.87,-0.908
case2,run_20260115_191025,1,holmes,0.041,0.152,0.806,-0.9
case2,run_20260115_191025,1,marple,0.105,0.162,0.732,-0.585
case2,run_20260115_191025,1,poirot,0.063,0.148,0.789,-0.922
case2,run_20260115_191025,2,holmes,0.063,0.158,0.779,-0.966
case2,run_20260115_191025,2,marple,0.105,0.069,0.827,0.598
case2,run_20260115_191025,2,poirot,0.052,0.13,0.817,-0.915
case2,run_20260115_191025,3,holmes,0.053,0.157,0.79,-0.977
case2,run_20260115_191025,3,marple,0.065,0.084,0.85,-0.477
case2,run_20260115_191025,3,poirot,0.057,0.108,0.834,-0.84
case2,run_20260115_191025,4,holmes,0.024,0.109,0.867,-0.955
case2,run_20260115_191025,4,marple,0.042,0.131,0.827,-0.958
case2,run_20260115_191025,4,poirot,0.086,0.126,0.788,-0.831
case2,run_20260115_191449,1,holmes,0.106,0.096,0.798,0.209
case2,run_20260115_191449,1,marple,0.155,0.084,0.76,0.892
case2,run_20260115_191449,1,poirot,0.041,0.118,0.841,-0.917
case2,run_20260115_191348,1,holmes,0.079,0.134,0.786,-0.859
case2,run_20260115_191348,1,marple,0.083,0.137,0.781,-0.84
case2,run_20260115_191348,1,poirot,0.134,0.06,0.806,0.883
case2,run_20260115_191348,2,holmes,0.1,0.097,0.803,-0.363
case2,run_20260115_191348,2,marple,0.109,0.082,0.809,0.557
case2,run_20260115_191348,2,poirot,0.111,0.1,0.789,0.0
case2,run_20260115_191348,3,holmes,0.064,0.107,0.829,-0.875
case2,run_20260115_191348,3,marple,0.028,0.133,0.838,-0.951
case2,run_20260115_191348,3,poirot,0.066,0.104,0.83,-0.896
case2,run_20260115_191348,4,holmes,0.025,0.119,0.855,-0.951
case2,run_20260115_191348,4,marple,0.032,0.122,0.846,-0.966
case2,run_20260115_191348,4,poirot,0.086,0.161,0.752,-0.97
case2,run_20260115_191251,1,holmes,0.06,0.068,0.873,-0.46
case2,run_20260115_191251,1,marple,0.067,0.116,0.817,-0.682
case2,run_20260115_191251,1,poirot,0.095,0.048,0.857,0.659
case2,run_20260115_191251,2,holmes,0.099,0.125,0.776,-0.528
